QI	Algo1	Algo2	Preferred
EP	MOCELL	CELLDE	MOCELL
EP	MOCELL	PAES	MOCELL
EP	MOCELL	SMPSO	MOCELL
EP	NSGA-II	CELLDE	NSGA-II
EP	NSGA-II	MOCELL	NSGA-II
EP	NSGA-II	PAES	NSGA-II
EP	NSGA-II	SMPSO	NSGA-II
EP	NSGA-II	SPEA2	NSGA-II
EP	PAES	CELLDE	PAES
EP	PAES	MOCELL	PAES
EP	PAES	SMPSO	PAES
EP	SMPSO	CELLDE	SMPSO
EP	SMPSO	MOCELL	SMPSO
EP	SMPSO	NSGA-II	SMPSO
EP	SMPSO	PAES	SMPSO
EP	SMPSO	SPEA2	SMPSO
EP	SPEA2	CELLDE	SPEA2
EP	SPEA2	MOCELL	SPEA2
EP	SPEA2	NSGA-II	SPEA2
EP	SPEA2	PAES	SPEA2
EP	SPEA2	SMPSO	SPEA2
GD	CELLDE	MOCELL	CELLDE
GD	CELLDE	PAES	CELLDE
GD	CELLDE	SMPSO	CELLDE
GD	MOCELL	CELLDE	MOCELL
GD	MOCELL	NSGA-II	MOCELL
GD	MOCELL	PAES	MOCELL
GD	MOCELL	SMPSO	MOCELL
GD	MOCELL	SPEA2	MOCELL
GD	NSGA-II	CELLDE	NSGA-II
GD	NSGA-II	MOCELL	NSGA-II
GD	NSGA-II	PAES	NSGA-II
GD	NSGA-II	SMPSO	NSGA-II
GD	NSGA-II	SPEA2	NSGA-II
GD	PAES	CELLDE	PAES
GD	PAES	MOCELL	PAES
GD	PAES	SMPSO	PAES
GD	SMPSO	CELLDE	SMPSO
GD	SMPSO	MOCELL	SMPSO
GD	SMPSO	PAES	SMPSO
GD	SPEA2	CELLDE	SPEA2
GD	SPEA2	MOCELL	SPEA2
GD	SPEA2	NSGA-II	SPEA2
GD	SPEA2	PAES	SPEA2
GD	SPEA2	SMPSO	SPEA2
GS	CELLDE	MOCELL	CELLDE
GS	CELLDE	NSGA-II	CELLDE
GS	CELLDE	PAES	CELLDE
GS	CELLDE	SMPSO	CELLDE
GS	CELLDE	SPEA2	CELLDE
GS	MOCELL	CELLDE	MOCELL
GS	MOCELL	PAES	MOCELL
GS	MOCELL	SMPSO	MOCELL
GS	MOCELL	SPEA2	MOCELL
GS	NSGA-II	CELLDE	NSGA-II
GS	NSGA-II	MOCELL	NSGA-II
GS	NSGA-II	PAES	NSGA-II
GS	NSGA-II	SMPSO	NSGA-II
GS	NSGA-II	SPEA2	NSGA-II
GS	PAES	CELLDE	PAES
GS	PAES	MOCELL	PAES
GS	PAES	SPEA2	PAES
GS	SMPSO	CELLDE	SMPSO
GS	SMPSO	MOCELL	SMPSO
GS	SMPSO	NSGA-II	SMPSO
GS	SMPSO	PAES	SMPSO
GS	SMPSO	SPEA2	SMPSO
GS	SPEA2	CELLDE	SPEA2
GS	SPEA2	MOCELL	SPEA2
GS	SPEA2	NSGA-II	SPEA2
GS	SPEA2	PAES	SPEA2
GS	SPEA2	SMPSO	SPEA2
ED	CELLDE	MOCELL	CELLDE
ED	CELLDE	PAES	CELLDE
ED	CELLDE	SMPSO	CELLDE
ED	CELLDE	SPEA2	CELLDE
ED	MOCELL	CELLDE	MOCELL
ED	MOCELL	PAES	MOCELL
ED	MOCELL	SMPSO	MOCELL
ED	MOCELL	SPEA2	MOCELL
ED	NSGA-II	CELLDE	NSGA-II
ED	NSGA-II	MOCELL	NSGA-II
ED	NSGA-II	PAES	NSGA-II
ED	NSGA-II	SMPSO	NSGA-II
ED	NSGA-II	SPEA2	NSGA-II
ED	PAES	CELLDE	PAES
ED	PAES	MOCELL	PAES
ED	PAES	NSGA-II	PAES
ED	PAES	SMPSO	PAES
ED	PAES	SPEA2	PAES
ED	SMPSO	CELLDE	SMPSO
ED	SMPSO	MOCELL	SMPSO
ED	SMPSO	NSGA-II	SMPSO
ED	SMPSO	PAES	SMPSO
ED	SMPSO	SPEA2	SMPSO
ED	SPEA2	CELLDE	SPEA2
ED	SPEA2	MOCELL	SPEA2
ED	SPEA2	NSGA-II	SPEA2
ED	SPEA2	PAES	SPEA2
ED	SPEA2	SMPSO	SPEA2
PFS	CELLDE	MOCELL	CELLDE
PFS	CELLDE	SMPSO	CELLDE
PFS	MOCELL	CELLDE	MOCELL
PFS	MOCELL	SMPSO	MOCELL
PFS	NSGA-II	CELLDE	NSGA-II
PFS	NSGA-II	MOCELL	NSGA-II
PFS	NSGA-II	PAES	NSGA-II
PFS	NSGA-II	SMPSO	NSGA-II
PFS	NSGA-II	SPEA2	NSGA-II
PFS	PAES	CELLDE	PAES
PFS	PAES	MOCELL	PAES
PFS	PAES	SMPSO	PAES
PFS	SMPSO	CELLDE	SMPSO
PFS	SMPSO	MOCELL	SMPSO
PFS	SMPSO	PAES	SMPSO
PFS	SPEA2	CELLDE	SPEA2
PFS	SPEA2	MOCELL	SPEA2
PFS	SPEA2	NSGA-II	SPEA2
PFS	SPEA2	PAES	SPEA2
PFS	SPEA2	SMPSO	SPEA2
C	CELLDE	MOCELL	CELLDE
C	CELLDE	NSGA-II	CELLDE
C	CELLDE	PAES	CELLDE
C	CELLDE	SMPSO	CELLDE
C	CELLDE	SPEA2	CELLDE
C	MOCELL	CELLDE	MOCELL
C	MOCELL	NSGA-II	MOCELL
C	MOCELL	PAES	MOCELL
C	MOCELL	SMPSO	MOCELL
C	MOCELL	SPEA2	MOCELL
C	NSGA-II	CELLDE	NSGA-II
C	NSGA-II	MOCELL	NSGA-II
C	NSGA-II	PAES	NSGA-II
C	NSGA-II	SMPSO	NSGA-II
C	NSGA-II	SPEA2	NSGA-II
C	PAES	CELLDE	PAES
C	PAES	MOCELL	PAES
C	PAES	SMPSO	PAES
C	SMPSO	CELLDE	SMPSO
C	SMPSO	MOCELL	SMPSO
C	SMPSO	NSGA-II	SMPSO
C	SMPSO	PAES	SMPSO
C	SMPSO	SPEA2	SMPSO
C	SPEA2	CELLDE	SPEA2
C	SPEA2	MOCELL	SPEA2
C	SPEA2	NSGA-II	SPEA2
C	SPEA2	PAES	SPEA2
C	SPEA2	SMPSO	SPEA2
