QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
IGD	15	SMPSO_SPEA2	SMPSO	SPEA2	2	7	0.133333333333333	0.388888888888889
EP	1	CELLDE_MOCELL	CELLDE	MOCELL	7	3	0.5	0.166666666666667
EP	2	CELLDE_NSGA-II	CELLDE	NSGA-II	3	7	0.214285714285714	0.388888888888889
EP	3	CELLDE_PAES	CELLDE	PAES	8	2	0.571428571428571	0.111111111111111
EP	4	CELLDE_SMPSO	CELLDE	SMPSO	2	8	0.142857142857143	0.533333333333333
EP	5	CELLDE_SPEA2	CELLDE	SPEA2	3	7	0.214285714285714	0.388888888888889
EP	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	12	0.0555555555555556	0.666666666666667
EP	7	MOCELL_PAES	MOCELL	PAES	9	3	0.5	0.166666666666667
EP	8	MOCELL_SMPSO	MOCELL	SMPSO	2	7	0.111111111111111	0.466666666666667
EP	9	MOCELL_SPEA2	MOCELL	SPEA2	1	12	0.0555555555555556	0.666666666666667
EP	10	NSGA-II_PAES	NSGA-II	PAES	12	2	0.666666666666667	0.111111111111111
EP	11	NSGA-II_SMPSO	NSGA-II	SMPSO	7	4	0.388888888888889	0.266666666666667
EP	12	NSGA-II_SPEA2	NSGA-II	SPEA2	8	3	0.444444444444444	0.166666666666667
EP	13	PAES_SMPSO	PAES	SMPSO	1	10	0.0555555555555556	0.666666666666667
EP	14	PAES_SPEA2	PAES	SPEA2	2	11	0.111111111111111	0.611111111111111
EP	15	SMPSO_SPEA2	SMPSO	SPEA2	5	6	0.333333333333333	0.333333333333333
GD	1	CELLDE_MOCELL	CELLDE	MOCELL	5	5	0.357142857142857	0.277777777777778
GD	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	9	0.0714285714285714	0.5
GD	3	CELLDE_PAES	CELLDE	PAES	6	4	0.428571428571429	0.222222222222222
GD	4	CELLDE_SMPSO	CELLDE	SMPSO	4	5	0.285714285714286	0.333333333333333
GD	5	CELLDE_SPEA2	CELLDE	SPEA2	2	8	0.142857142857143	0.444444444444444
GD	6	MOCELL_NSGA-II	MOCELL	NSGA-II	3	11	0.166666666666667	0.611111111111111
GD	7	MOCELL_PAES	MOCELL	PAES	10	4	0.555555555555556	0.222222222222222
GD	8	MOCELL_SMPSO	MOCELL	SMPSO	6	5	0.333333333333333	0.333333333333333
GD	9	MOCELL_SPEA2	MOCELL	SPEA2	3	10	0.166666666666667	0.555555555555556
GD	10	NSGA-II_PAES	NSGA-II	PAES	12	1	0.666666666666667	0.0555555555555556
GD	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	1	0.555555555555556	0.0666666666666667
GD	12	NSGA-II_SPEA2	NSGA-II	SPEA2	5	6	0.277777777777778	0.333333333333333
GD	13	PAES_SMPSO	PAES	SMPSO	5	6	0.277777777777778	0.4
GD	14	PAES_SPEA2	PAES	SPEA2	2	12	0.111111111111111	0.666666666666667
GD	15	SMPSO_SPEA2	SMPSO	SPEA2	1	10	0.0666666666666667	0.555555555555556
GS	1	CELLDE_MOCELL	CELLDE	MOCELL	8	1	0.571428571428571	0.0555555555555556
GS	2	CELLDE_NSGA-II	CELLDE	NSGA-II	5	4	0.357142857142857	0.222222222222222
GS	3	CELLDE_PAES	CELLDE	PAES	12	0	0.857142857142857	0
GS	4	CELLDE_SMPSO	CELLDE	SMPSO	5	5	0.357142857142857	0.333333333333333
GS	5	CELLDE_SPEA2	CELLDE	SPEA2	7	4	0.5	0.222222222222222
GS	6	MOCELL_NSGA-II	MOCELL	NSGA-II	3	11	0.166666666666667	0.611111111111111
GS	7	MOCELL_PAES	MOCELL	PAES	10	5	0.555555555555556	0.277777777777778
GS	8	MOCELL_SMPSO	MOCELL	SMPSO	1	10	0.0555555555555556	0.666666666666667
GS	9	MOCELL_SPEA2	MOCELL	SPEA2	5	11	0.277777777777778	0.611111111111111
GS	10	NSGA-II_PAES	NSGA-II	PAES	11	4	0.611111111111111	0.222222222222222
GS	11	NSGA-II_SMPSO	NSGA-II	SMPSO	3	9	0.166666666666667	0.6
GS	12	NSGA-II_SPEA2	NSGA-II	SPEA2	10	5	0.555555555555556	0.277777777777778
GS	13	PAES_SMPSO	PAES	SMPSO	0	12	0	0.8
GS	14	PAES_SPEA2	PAES	SPEA2	5	10	0.277777777777778	0.555555555555556
GS	15	SMPSO_SPEA2	SMPSO	SPEA2	9	3	0.6	0.166666666666667
ED	1	CELLDE_MOCELL	CELLDE	MOCELL	5	6	0.357142857142857	0.333333333333333
ED	2	CELLDE_NSGA-II	CELLDE	NSGA-II	3	9	0.214285714285714	0.5
ED	3	CELLDE_PAES	CELLDE	PAES	7	5	0.5	0.277777777777778
ED	4	CELLDE_SMPSO	CELLDE	SMPSO	3	8	0.214285714285714	0.533333333333333
ED	5	CELLDE_SPEA2	CELLDE	SPEA2	3	6	0.214285714285714	0.333333333333333
ED	6	MOCELL_NSGA-II	MOCELL	NSGA-II	2	11	0.111111111111111	0.611111111111111
ED	7	MOCELL_PAES	MOCELL	PAES	7	7	0.388888888888889	0.388888888888889
ED	8	MOCELL_SMPSO	MOCELL	SMPSO	5	7	0.277777777777778	0.466666666666667
ED	9	MOCELL_SPEA2	MOCELL	SPEA2	2	9	0.111111111111111	0.5
ED	10	NSGA-II_PAES	NSGA-II	PAES	8	2	0.444444444444444	0.111111111111111
ED	11	NSGA-II_SMPSO	NSGA-II	SMPSO	9	4	0.5	0.266666666666667
ED	12	NSGA-II_SPEA2	NSGA-II	SPEA2	7	5	0.388888888888889	0.277777777777778
ED	13	PAES_SMPSO	PAES	SMPSO	4	9	0.222222222222222	0.6
ED	14	PAES_SPEA2	PAES	SPEA2	5	10	0.277777777777778	0.555555555555556
ED	15	SMPSO_SPEA2	SMPSO	SPEA2	5	8	0.333333333333333	0.444444444444444
PFS	1	CELLDE_MOCELL	CELLDE	MOCELL	5	3	0.357142857142857	0.166666666666667
PFS	2	CELLDE_NSGA-II	CELLDE	NSGA-II	1	12	0.0714285714285714	0.666666666666667
PFS	3	CELLDE_PAES	CELLDE	PAES	3	10	0.214285714285714	0.555555555555556
PFS	4	CELLDE_SMPSO	CELLDE	SMPSO	4	5	0.285714285714286	0.333333333333333
PFS	5	CELLDE_SPEA2	CELLDE	SPEA2	1	12	0.0714285714285714	0.666666666666667
PFS	6	MOCELL_NSGA-II	MOCELL	NSGA-II	0	14	0	0.777777777777778
PFS	7	MOCELL_PAES	MOCELL	PAES	5	10	0.277777777777778	0.555555555555556
PFS	8	MOCELL_SMPSO	MOCELL	SMPSO	3	7	0.166666666666667	0.466666666666667
PFS	9	MOCELL_SPEA2	MOCELL	SPEA2	0	14	0	0.777777777777778
PFS	10	NSGA-II_PAES	NSGA-II	PAES	10	0	0.555555555555556	0
PFS	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	2	0.555555555555556	0.133333333333333
PFS	12	NSGA-II_SPEA2	NSGA-II	SPEA2	3	0	0.166666666666667	0
PFS	13	PAES_SMPSO	PAES	SMPSO	9	5	0.5	0.333333333333333
PFS	14	PAES_SPEA2	PAES	SPEA2	1	10	0.0555555555555556	0.555555555555556
PFS	15	SMPSO_SPEA2	SMPSO	SPEA2	2	10	0.133333333333333	0.555555555555556
C	1	CELLDE_MOCELL	CELLDE	MOCELL	3	2	0.214285714285714	0.111111111111111
C	2	CELLDE_NSGA-II	CELLDE	NSGA-II	2	5	0.142857142857143	0.277777777777778
C	3	CELLDE_PAES	CELLDE	PAES	3	2	0.214285714285714	0.111111111111111
C	4	CELLDE_SMPSO	CELLDE	SMPSO	1	2	0.0714285714285714	0.133333333333333
C	5	CELLDE_SPEA2	CELLDE	SPEA2	2	7	0.142857142857143	0.388888888888889
C	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	4	0.0555555555555556	0.222222222222222
C	7	MOCELL_PAES	MOCELL	PAES	3	0	0.166666666666667	0
C	8	MOCELL_SMPSO	MOCELL	SMPSO	3	2	0.166666666666667	0.133333333333333
C	9	MOCELL_SPEA2	MOCELL	SPEA2	1	5	0.0555555555555556	0.277777777777778
C	10	NSGA-II_PAES	NSGA-II	PAES	6	0	0.333333333333333	0
C	11	NSGA-II_SMPSO	NSGA-II	SMPSO	4	1	0.222222222222222	0.0666666666666667
C	12	NSGA-II_SPEA2	NSGA-II	SPEA2	2	3	0.111111111111111	0.166666666666667
C	13	PAES_SMPSO	PAES	SMPSO	2	2	0.111111111111111	0.133333333333333
C	14	PAES_SPEA2	PAES	SPEA2	0	5	0	0.277777777777778
C	15	SMPSO_SPEA2	SMPSO	SPEA2	2	5	0.133333333333333	0.277777777777778
